	logFC	logCPM	F	PValue	color
casc4	2.7478930856275	6.28692263366246	39.5892269588166	0.000385859921830173	red
prkab1b	1.87963579076453	7.87010239872961	39.4885723597327	0.000388882479140424	red
prkx	3.8361728093043	8.00126421647812	39.2491970649775	0.000396193631004614	red
alcamb	2.05661206397548	8.12692588706601	39.1804350247032	0.000398326345845406	red
aifm2	1.76193018044758	6.93021712392068	39.1552275867464	0.000399111864094955	red
hnrpkl	1.80876297700399	6.86442802666687	39.0529780528178	0.000402318631816966	red
zgc:158404	2.36269419072103	8.44631206317859	38.961722129666	0.000405208575714806	red
smndc1	1.67422738731025	6.68230944046398	38.936768382443	0.000406003457727113	red
enosf1	1.7693886976791	8.01213130391486	38.8281252000162	0.000409487603296064	red
cd44a	6.09301791460125	5.82062117723222	38.821367374136	0.000409705588876965	red
glsb	1.82638291787125	5.98157116601262	38.8026125201156	0.000410311339969034	red
dnase1l1	2.11755138812289	5.42289187993753	38.7236857771106	0.00041287317033584	red
extl3	-11.2867133101775	3.18929794439142	47.9903756438057	0.000418868198583151	blue
coa3a	2.26751004751578	5.53395921626121	38.5084107183885	0.000419965707351582	red
nucb2a	1.61147252684935	7.2073578575625	38.4306774966363	0.000422565106317583	red
tspan15	2.19865199462714	7.52227401852194	38.3782971075467	0.000424328352899248	red
si:ch73-74h11.1	2.01933147568417	6.83789134898256	38.2593737465182	0.000428366765833978	red
BX537263.1	-11.0947003584015	4.48411571781334	38.2055954087049	0.00043020916331703	blue
BX537263.2	-11.0947003584015	4.48411571781334	38.2055954087049	0.00043020916331703	blue
med31	2.31248064132322	5.44687702075108	38.1937820286351	0.000430615239932121	red
plp2	-4.83817717481812	3.25445471231887	38.0516877364271	0.000435538373387371	blue
wapla	2.14028151921235	5.45093600036605	37.8469901819378	0.000442758178180931	red
rrs1	2.04860745141409	5.4165097177035	37.8372348538389	0.000443106073176217	red
cyp3a65	-2.93300014499403	7.15587975323089	37.77613664229	0.000445292954466582	blue
hbae3	-2.24637390082564	9.71145165799352	37.7186892195088	0.000447361806963638	blue
lamp1b	2.38122581290357	6.58415838070296	37.6791741693908	0.000448792022279951	red
