	logFC	logCPM	F	PValue	color
STC1	3.09986201760021	7.74745538714884	101.709902385955	9.35922136363378e-06	red
ARHGDIA	-4.41872365463802	6.9882906162279	101.543737133266	9.41539287679361e-06	blue
TSPYL1	2.93623554928382	7.94825250603301	101.454807829887	9.44562902137196e-06	red
SLC41A2	4.48838281506556	8.51834617479642	101.286861713921	9.50306438377703e-06	red
ST6GALNAC4	-11.9793502831134	3.63635445622624	132.976482778659	1.00828178430706e-05	blue
SEC24C	-4.91508900446238	4.98366587422901	99.4517087477027	1.01601811657381e-05	blue
RNPEPL1	-5.85080448626725	3.78627947385176	97.0033369349391	1.11283839048788e-05	blue
SLC39A3	-6.60554890574389	4.81101933903174	96.8684174626664	1.11850378332738e-05	blue
BARD1	3.39003605603235	7.51602077785253	95.9198118446539	1.1593765807156e-05	red
SERINC5	2.90991281931063	7.09230649759754	95.6326632527943	1.17211757215913e-05	red
RSRC1	2.70164930127056	7.99589789851499	95.4379285999159	1.18085825024243e-05	red
DOCK5	3.15906444661073	8.152731768452	95.2316862272748	1.19020489671837e-05	red
